timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673704027535,125,/object_info_1,200,OK,Group_31 1-42,text,true,,230,164,15,15,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,124,0,62
1673704027540,126,/get_method,200,OK,Group_31 1-49,text,true,,169,151,15,15,http://162.55.220.72:5005/get_method?name=Alona&age=32,126,0,62
1673704027543,128,/object_info_2,200,OK,Group_31 1-40,text,true,,464,166,15,15,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,128,0,63
1673704027543,131,/object_info_3,200,OK,Group_31 1-38,text,true,,525,166,15,15,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,131,0,64
1673704027554,130,/user_info_2,200,OK,Group_31 1-47,text,true,,464,248,15,15,http://162.55.220.72:5005/user_info_2,129,0,63
1673704027564,129,/object_info_4,200,OK,Group_31 1-36,text,true,,237,166,15,15,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,128,0,63
1673704027566,128,/user_info_3,200,OK,Group_31 1-45,text,true,,370,248,14,14,http://162.55.220.72:5005/user_info_3,128,0,65
1673704027641,125,/object_info_4,200,OK,Group_31 1-37,text,true,,237,166,14,14,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,124,0,61
1673704027612,143,/user_info_2,200,OK,Group_31 1-48,text,true,,464,248,14,14,http://162.55.220.72:5005/user_info_2,143,0,64
1673704027626,130,/object_info_1,200,OK,Group_31 1-44,text,true,,230,164,14,14,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,130,0,63
1673704027660,131,/object_info_2,200,OK,Group_31 1-42,text,true,,464,166,14,14,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,131,0,65
1673704027619,136,/user_info_3,200,OK,Group_31 1-46,text,true,,370,248,14,14,http://162.55.220.72:5005/user_info_3,136,0,61
